Customer Review,Emotion
tebal berkualitas ??. jaketnya stylish. keren modelnya.,2
"mantaps... murmer, gede, ga pake lengket2 ??",2
"respon cepat, paket nya juga rapi dan dikirim dengan baik, terima kasih ??",2
barang sesuai deskripsi.. seller fast response.. pengiriman aman sampai rumah..,2
"sangat cepat responnya, sangat banyak membantu. terimakasih banyak",2
barang sangat bagus... pengiriman baik. smg awett,2
puas banget kaos kakinya bagus,2
"barangnya original ??. produk berfungsi dengan baik. suara yang dihasilkan jernih. mudah digunakan. asli ga nyesel transaksi disini, agan seller mau jelasin sejelas2nya masalah produk dan variasi2nya, sampe cara penggunaan alatnya sehingga berfungsi semuanya...",2
"mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. cas juga responsif",2
bagus lembut,2
"seller ramah dan informatif, proses dan delivery cepat, packing rapih dan secure. thanks for the sample bonus.",2
"barang sesuai gambar, pengiriman juga cepat.",2
"paket sudah sampai dengan selamat, pertahankan kualitas pelayanan dan harganya.. thanks seller dan tokped ..",2
kualitas produk bagus. produk sesuai,2
"kualitas mantap, pengiriman sangat cepat. luar biasa..",2
barang bagus dan pengiriman cepat,2
bahannya adem. jahitan rapi. tidak menerawang. mudah dibentuk. warnanya cantik ??. nyaman dipakai.,2
produk berfungsi dengan baik.,2
"harga, kualitas, barang sesuai... terima kasih seller, sukses tokopedia...",2
fiturnya cukup bagus sesuai harga,2
"bersih dari debu, sekali jalan, bagus... dan pengiriman ok sih rapi dlm box",2
barang bagus packing rapih mantap. biar bintang yang berbicara,2
tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!,2
jkt - bdg cmn butuh waktu semalem packing nya mntp pack nya rapi kgak d lecet suara nya enak bet buat rekaman fingerstyle akustik gatau dah mntp pokoknya,2
"thanks barang udh sampe cepet bgd tp maaf blm coba barangnya dan blm sempat foto,, kurir juga oke, thanks gan moga bermanfaat",2
"barang bagus, meskipun agak panas",2
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,2
"barusan saya tes untuk ambil sampah di sungai dekat rumah, untuk kekuatan daya cekram si alatnya masuk akal untuk harga segini. untuk ambil plastik mudah, tapi untuk ambil sampah kain atau sampah yg udah kekubur agak sulit karena kurang kuat cekramannya",2
"mantap, terima kasih seller. order kemarin sore, 24 jam sudah tiba k daerah garut. barang sesuai deskripsi",2
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",2
sudah terpasang dgn kaca sesuai ukuran yg dipesan. rapi dan kaya kaca mata mahal. mantab!. thanks too buat cairan lens cleaner-nya.,2
"mantaap.. semoga awet, murah meriah, tp fungsi nya sangat mbantu sekali utk pekerjaan rumah, lbh irit pemakaian superpel jadi nya..",2
"bagus, barang sampai cepat",2
"packaging aman banget, proses cepet. thankyou",2
"bajunya bagus, bahannya adem, oke banget",2
bahan bagus,2
pengiriman cepat dan packing aman... dapat harga flashsale....,2
kakinya gampang diatur. berfungsi dengan baik. kualitas sesuai harga.,2
produk sesuai.,2
dijamin asli barangnya cuma packingnya pengirimannya sederhana sekali?? sampai ada lembar soal anak sd,2
"produk nya ok.. kaca bersih, karet nya ok.. kain pembersih nya ok jg bersihin kaca walopun di awal sudah dipasang",2
"wanginya enak, respon seller n pengiriman cepat",2
bagus ori banget dan cepat pengiriman barang nya thanks,2
"pengiriman cepat, packing rapih dan aman. kualitas suara standar sebanding dengan harga",2
"respon seller dan pengiriman cepat, paket aman, produk baru dicoba dan blm bener� tau efektif atau ngga, botol aman gak bocor dan sprayernya bagus. thanks a lot seller!",2
sesuai deskripsi� seller gercep & interaktif� rekomended �,2
mantabsss .. barang ori .. rambut makin subur dan sudah agak kelihatan warna hitam nya,2
packaging simpel. proses pesanan cepat. packaging aman ??. packaging rapi.,2
paket sampai dgn selamat. semoga cocok.,2
"kesel ama durasi pengirimannya doang, overall barangnya bagus kok",2
seller responsif dan membimbing step by step sampai bisa,2
jahitan rapi. warnanya cantik ??. mudah dibentuk.,2
aku doang yang ngerasa apa gimaba tapi warna yang ini ga terlalu out as much i expected. tapi overall i loved it,2
best seller!! terima kasih untuk pengiriman cepat! semuanya bekerja! senang memesan dari anda. terima kasih!,2
berfungsi dengan baik.,2
pengiriman cepat buku dalam kondisi baik,2
"ramah, pelayanan cepat, packaging rapih dan aman, pesanan pun sesuai dengan catatan. terbaik, request pake kertas kado dan kartu ucapan pun free of charge. belum pernah failed sih beli disini.",2
"barang bagus , motif nya jg cantik. respond penjual cepat",2
"respon cepat, barang aman, buahnya segar dan bagus, pengiriman cepat",2
"kainnya lembut dan stretchy. ada hooknya yang bisa ditarik jadi kalau celana kegedean, masih bisa disesuaikan dengan ukuran perut yg sekarang. ini all size dan pas banget. bahannya juga tebal, jadi dipakai ga nerawang.",2
"pengemasannya lama, mungkin krn high order.. saya kira kualitasnya yg kaya gimana gt, soalnya harganya diskon 90? (tapi saya tau itu cuma click bait aja), pas cek toko lain harganya lebih miring padahal, untungnya ada cashback. produk dtg udah ga simetris, mungkin kelamaan di kurir, masa alamat saya dibilang negative address.. kalo komplain ke kurir kemana ya? btw kualitas barang dgn harga segitu ya positive lah, tebal, blm dicobain buat masak. thanks seller",2
"respon cepat , kemasan rapi , harga murah barang istimewa",2
pertama x custom dan hasil ny sesuai request,2
"barang sesuai deskripsi & berfungsi dgn baik,,, makasih jga untuk responnya yg sangat baik",2
barang sesuai dan bagus,2
barang sdh tiba dengan selamat... trimakasih ??,2
penjualnya ramah . respon penjualnya bagus. proses pesanan cepat.,2
"barang datang sesuai pesanan dan gambar di etalase, juga penjelasan penjual. puass. aman untuk bayi ??",2
penjualnya ramah banget packaging aman ??,2
orderan sesuai dan kualitasnya juga ok. pengiriman tidak terlalu lama.,2
"trmksh barang sesuai pesanan, fungsi normal... tingkatkan terus pelayanan...",2
"packing bagus, puass",2
"alhamdulillah bisa dpt traktiran dari tokopedia semoga kemudian hari walaupun ngasih gratisan harus sesuai ukuran juga, tapi gak papa makasih buat seller yg udah rela ngasih gratis. bisa kepakek utk di rumah aja warnanya cantik ??. tidak menerawang.",2
"respons penjual sangat baik, pengiriman sangat cepat.",2
lumayan barang berfungsi lucuuu,2
"baguuus kuat kokoh, cuma emang gabisa sejajar lurus kalau mau foto dari atas (keliatan kaki bawahnya), harus agak dinaikin dikit hp nya, overall okee",2
material produk bagus. ukuran produk sesuai.,2
"mantapp murah thanks kak, thanks abang kurir langsung di pasang??",2
mantap benar deh gak rugi dah beli disini cepat sampai dengan selamat barangnya langsung bisa digunakan,2
barang sdh di terima dgn selamat dan barang nya muantaaap sekali. maju dan terus berkembang buat toko nya.,2
agak tipis tapi ok lha,2
"pengiriman cepat, barangnya oke ?? sesuai deskripsi. terimakasih.",2
harga murah kualitas baik,2
"mantap hijau terang, cuman sayang agak kelipet kotak kotak jadinya... gatau cara ngelurusinnya gimana, disetrika kayaknya lengket",2
produk sesuai deskripsi. cuma bagian lipatannya tidak mudah hilang walaupun sudah disetrika. jdnya agak kliatan bagian lipatan saat difoto,2
bahannya nyaman ??. nyaman di punggung. nyaman di punggung. desain ergonomis. desain ergonomis. beban tersebar merata. beban tersebar merata. gampang dipakai. gampang dipakai. bahannya fleksibel. penjualnya ramah banget. proses pesanan cepat. proses pesanan cepat. packaging aman ??. packaging rapi. packaging rapi. respon penjualnya top.,2
"kualitas sesuai harga, respon seller ok, tks",2
"trm ksh brgnya sdh smp, pengiriman cepat kmrn pesan hari ini sampai, double bubblewrap, penjual responsif dlm qa, kurir oke lah via cod.",2
"trnyata tanggal merah tetap melayani pengiriman, dan benar lngsung dikirimkan by instant kurir... pelayanan dan respon nya juara... semoga awet dan fungsional",2
barangnya original ??. desainnya modern ??.,2
lansung coba.. positive bos,2
barang diterima tanpa catat.. thanks yaaa,2
kemasan disegel. spesifikasi sesuai . warna sesuai pesanan.,2
"produk cukup bagus, pas sesuai harga",2
"kualitas sesuai harga, pengiriman cepat",2
"hasil pemakaian sebulan, rambut terasa halus, tebal, hitam, rontok berkurang.. untuk uban belum terlihat hasilnya.. lanjut order botol ke 2",2
"bagus. sesuai ekspetasi. original. pengiriman cepat. cuma pada bagian tombol �adjust� agak masuk kedalam jadi agak susah ditekan. kalau tombolnya bagus, aku langsung kasih bintang 5 hehehe",2
"admin fast respon, ramah, bukunya ori, diterima dalam keadaan tersegel, dimasukan dus dibungkus bubble wrap .. sangat memuaskan.. terima kasih banyak",2
pengiriman cepat.. barang kondisi bagus.. makasih ya??,2
kesekian kalinya pesen ini produk.. sangat bagus untuk membantu proses diet.. dan pengiriman sangat cepat.,2
packing sangat aman.. ada kardus dan bubble jadi barang sampai dengan selamat.. dikasih bonus tempat mkn pula.. makasiihhhhhh,2
mantaaaaap jaya gan sukses dalam bisnis ini sangat penting untuk menjaga kualitas terbaik dan termurah dengan fitur rentang pencarian harga,2
"kemasan bubble wrap rapih, tapi kardusnya sedikit penyok. tapi arm bracket-nya baik� saja. langsung dipasang. tripodnya kokoh, produk sesuai.",2
"barang sesuai gambar, cuman perlu adaptor 12v lagi supaya bisa nyala. terima kasih juga buat kurirnya",2
lumayan buat dipake hari2 tp ga ada certificatenya,2
kartu bekerja dengan baik begitupun sellernya yang sigap menjawab semua pertanyaan..,2
barangnya bagus harganya murah,2
"ditrima barangnya dg baik dan memuaskan, trimakasi ya toko pedia smg sukses trus",2
terima kasih telah menjual seruling yamaha ori dan barang cepat tiba dalam keadaan baik.,2
"sudah dibuka, dicoba pasang, kuat nempelnya, kunciannya jg stabil, bongkar pasang hp nya gampang. penjual jg responsif",2
bukunya bagus dan harganya bersahabat banget bisa buat nambah perbendaharaan cerita si kecil,2
suaranya jernih tp kurang keras dan casnya gk berfungsi tp gpp sy punya cas sndri proses pesanan cepat. packaging aman. packaging rapi.,2
"komik asli, pengemasan tebal diisi bubble wrap, pengiriman cepat ??",2
"balonnya cakep, gampang ditiup juga thx seller",2
harganya terjangkau. koneksi android lancar.,2
"kualitas produk bagus. butuh waktu agak lama untuk ngecharge. berhubung lampunya kecil jadi cahayanya ga semerata kalau pakai ringlight, tapi cukup okay karena ringkes dan bisa di bawa kemana saja.",2
nyaman di kulit. kulit jadi glowing ?. penjualnya ramah banget. packaging simpel. packaging aman ??.,2
kurang bass tapi harganya terjangkau. proses pesanan cepat.,2
"produk diterma dengan baik, pengirimannya juga luar biasa cepat, dicoba juga pas banget untuk nintendonya.",2
pengemasan rapi dan aman... hny pengiriman yg agak lewat krn sdh kemalaman jd tunggu berikutnya baru sampai tks,2
cepat memproses pengiriman. dipacking aman dan rapih.,2
paket aman.... tq gan,2
"barang bagus, pengiriman juga cepat. cuma minus di packaging nya kurang rapi (cuma pakai plastik. tapi rekomen sih buat harga segini.",2
"kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.",2
bulu mata jadi lentik. packaging rapi. packaging aman ??. proses pesanan cepat. aplikator mudah dipakai.,2
"brg berfungsi dg baik, walau terkendala diawal cara pengoprasian. tp stlah 1 jam mncba akhirnya bisa. smoga awet.",2
"sepatunya cukup bagus, namun ketika sampai ternyata sepatunya agak mletot dan terlalu berat untuk ukuran sepatu lari. tapi harganya sudah sesuai.",2
bebas bahan kimia proses cepat hemat listrik ? boros listrik bisa muat banyak gampang dibawa-bawa bahan kokoh gampang dipakai penjualnya ramah banget proses pesanan cepat packaging aman ?? packaging rapi respon penjualnya top,2
produk bagus sesuai pesanan. fast response. pengiriman cepat 1hr,2
"thankyou seller, bahannya adem cocok buat anak anak. sengaja ambil size yg lebih gede biar di pake lama",2
ukuran sesuai. tidak menerawang. bahan menyerap keringat. jahitannya rapi. warnanya bagus ??.,2
"produk cepat sampai dan sesuai deskripsi, tapi chat nya slow respon overall bagus",2
best value for money buat keliling eropa 3 minggu ongkosnya cuma segini.,2
"ukurannya pas. cepat menyerap. tidak membuat lecet. udah langganan. harga murah dpt yg +2 lagi, trs dikasi sample susu. sukses selalu seller...",2
"respond cepat, packing aman, barang sesuai deskripsi, recommended",2
"barang ori, bagus, masih segel, sejauh ini berfungsi dengan baik",2
"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",2
"packing rapih, barang ori, berkualitas, harga murah",2
barang mantap sesuai deskripsi laptop jadi adem n sejuk,2
barang ori.. pengiriman cepat.. sippp,2
"kemasan rapih, aman, barang lengkap n harga terjangkau. seller n bang kurir jg ramah. mksh utk tokopedia",2
ternyata kecil hanya cocok buat anak anak kl buat dewasa kepala besar terlalu nyekek tapi warna bagus sesuai pesanan,2
"seller komunikatif, produk bahannya bagus, warnanya jg keren, pengiriman tepat waktu, instalasi mudah. packaging sangat aman box dan dikasih buble wrap. thanks jg bonusnya.",2
"barang sesuai harga, lumayan bagus",2
"respon seller cepat, packing aman, pengiriman cepat dan barangnya bagus ??",2
pengiriman cepat dan packing juga rapi,2
produk bgs packing bgs pengiriman cpt,2
produk sesuai deskripsi??. variasi produk beragam. berfungsi dengan baik.,2
"sesuai foto, sampainya lebih cepat dari yg dijadwalkan",2
masker nyaman dipakainya tidak sesak ..... bagus,2
"panduan instal nya lengkap, gamenya bagus, sellernya fast respon mantap suksess terus",2
kualitas produk bagus ??. jahitan rapi. desainnya cantik ??. cm kekurangannya kl isi banyak kartu jd sesak hehe,2
"respon cepat pengiriman cepat, sampai dengan baik dan bisa dimainkan",2
menggunakan bahan alami. melembabkan kulit bayi. aman buat kulit bayi. nggak memicu alergi. penjualnya ramah banget.,2
"barang sangat bagus. no lecet, no rusak. super sekaliii. terimakasih, sukses selalu, jaga kesehatan ??????",2
tingginya pas bisa nahan beban hp packaging aman ?? gampang dipasang kualitas bahan bagus. proses pesanan cepat,2
"delivery: packing mantap, pengiriman cepat barang: build quality mantap, solid, responsif juga, kyknya beneran ori (rumble ada, amiibo ke-detect, klik home button auto on)",2
"bagus lah ini, tombol nya anti kepencet� sendiri karna kalau mau pause / play mesti double tap. beda sama yg under 200rban atau merk n*kia. kualitas bahan bagus. harganya bersaing. packing bagus. kelengkapan sesuai.",2
material produk bagus. produk original,2
respon seller ok. barang sesuai deskripsi dan mudah pemasangan sejauh ini puas. saran membangun untuk stik ps bawaan bisa ditingkatkan atau ada pilihan upgrade stik. overall worth untuk harga segini. pengiriman tiba sesuai jadwal meski di akhir. ??,2
bagus pengiriman rapi cuma ga sameday ya kayanya kemarin saya minta same day... tapi suka sama sellernya sesuai ekspetasi,2
produk sesuai deskripsi dan pengirimannya cepat,2
barang dah sampe suka banget sama barang nya kurir juga ramah ??,2
"seller ramah n reapon cepat, packing rapi, thanks seller..",2
terpercaya,2
"pengiriman cepat, kualitas barang baik.",2
mudah dipakainya,2
packing nya rapi. brg pesanan dlm keadaan baik,2
"adminnya ramah bgt asli, nanya apa aja dijawabnya gercep bgt",2
"cepat respon, baju tidur yg datang sesuai deskripsi ukuran dan gambar, 3xl. bahan kaos katun. ????",2
puas ini mao pesen lagi ya kak,2
mantap ... cepat sampai ...,2
barang bagus sesuai expectasi. nih order lagi. keep up the best quality and service.,2
"enakkkk banget, cryyyyy! packaging oke. tengkyu!",2
kaget pas dateng ternyata bahannya bagus kualitasnya bagus padahal harganya murah wk,2
"model dan warnanya manis, kwalitas bahannya bagus...",2
barangnya bagus sesuai dengan harapan saya.. terima kasih,2
okkkkk pokoknya......,2
barang bagus dan berkwalitas.. mantapsss... sesuai deskripsi.. cepat sampai,2
"puas banget dengan sofa-nya.. bagus.. dan adminnya sangat membantu, saya minta tolong sebelum tahun baru, dan benar hari ini barang langsung sampai.. terima kasih banyak..",2
"penjual amanah, responsif. kabel berfungsi baik. pengiriman cepat. terima kasih.",2
keren banget barangnya. batrenya sumpah awet banget. volumenya juga gede dan ringan. cocok banget dibawa untuk lari atau work out. makasi min,2
barang sudah sampai??,2
terima kasih atas pelayanannya yang baik dan cepat senang belanja di sini semoga sukses selalu untuk tokopedianya,2
"produk original, packing aman jadi kardus engga penyok, mantabs lah",2
"barang sudah sampai, dipacking dengan aman dan dpt hrga promo lg, thanks seller",2
"bukunya sesuai, pengiriman cepat namun diletakkan begitu saja di lantai tanpa pemberitahuan/komunikasi dari kurir jika barang mau diletakkan/dititipkan, ada defect minor pada buku, tolong tingkatkan lagi kualitas packaging dan koordinasi dengan kurir",2
"enakk banget, isinya banyak, saosnya mantap. seller ramah. thank you!",2
"paket sampai barang sesuai pesanan, bisa dipakein di scph-50000. bisa untuk boot hdd internal, cuma mesti konfigurasi ulang di chip matrix nya. terimakasih. semoga awet",2
"baguss barangnya original, semua lengkap dgn garansi, diproses nya juga cepat thank you????",2
jahitannya rapi. bahannya lembut.,2
"barang sesuai deskripsi, makasih seller",2
"seller responsif dlm mengupdate status pesanan, packing produk rapi & essential oilnya benar2 pure dari aromanya",2
mantap... wangi... udah beli beberapa kali. aman juga untuk hewan...,2
terimakasih banyak kak.. pengiriman cepatt,2
"bener-bener sesuai ekspektasi sih, auto belajar triumph ??",2
mantap berkualitas,2
pengiriman okay. packing aman. barang sesuai deskripsi.,2
"seller ramah, pengiriman cepat. gak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp.????",2
"baunya sedikit sevenarnya segar, tapi lebih kuat dibanding disinfektan lainnya. jadi lebih awet tapi ga kuat di hidung",2
gampang dibawa-bawa. awet buat seharian ??. proses pesanan cepat.,2
bahannya enak bagus dan nyaman,2
"baik, cepat pengiriman",2
produk sesuai.,2
"barang sesuai , pengiriman cepat , makasih ??",2
sangat memuaskan dan cpt smpe,2
di aplikasinya gak bisa kelihatan kalo pintu lagi ke buka atau enggak. tapi automationnya lumayan lengkapnlah,2
"trima kasih, respon cepat, barang sampai dgn selamat ??",2
selalu terdepan. response sangat cepat. barang dikirim sangat cepat. sukses selalu.,2
"barang sesuai, terima kasih",2
pengiriman aman dan lmyn cepat.. barang diterima jg bagus,2
gampang dipakai. nyaman di punggung.,2
"seperti biasa pesanan cepat, seller juga fast respon",2
pesen jam 3 terus jam 5 kurang barang udah sampe karena pake gosend instant. dapet potongan gosend instant 30rb jadi cuman bayar harga refill instaxnya doang?????? thankyou kakk,2
"nyaman, ga licin, mantebbb",2
"lucu,, thankyou",2
teksturnya keras. hasilnya tebal. gampang dipakai. gampang dibawa-bawa. packaging aman ??. proses pesanan cepat.,2
"mantap, mudah2 an awet ya. barangnya sesuai gambar ????. packingnya aman ??. produk sesuai deskripsi",2
saya puas barangnya bagus sampai saat tidak ada masalah,2
penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu ... mantap lah ??????,2
"sampai dengan baik banget dan exp masih lama, di kemas sangat baik setiap susu di beri babel warp dan dikardusin satu2 baru di kardusin lagi jadi satu (ok semua ) terimakasih .",2
