Customer Review Final,Emotion Encoded
"[""barang"", ""fungsi"", ""baik"", ""milik"", ""toko"", ""responsif"", ""bantu"", ""kendala"", ""sukses"", ""toko"", ""ya"", ""gan""]",2
"[""seller"", ""packing"", ""baik"", ""kirim"", ""cepat"", ""nya"", ""barang"", ""sesuai"", ""deskripsi"", ""fungsi"", ""terima"", ""kasih""]",2
"[""kecewa"", ""scroll"", ""rusak""]",4
"[""jelek"", ""yg"", ""ori"", ""mousepad"", ""jd"", ""ga"", ""bs"", ""pakai"", ""kl"", ""charger"", ""jd"", ""getar"", ""parah"", ""barang"", ""ga"", ""sesui"", ""foto"", ""kayak"", ""barang"", ""lapak"", ""belah"", ""yg"", ""harga"", ""rban"", ""beli"", ""bagus"", ""persis"", ""spt"", ""foto"", ""yg"", ""indikator"", ""ujung"", ""charger"", ""order"", ""lg"", ""mahal"", ""barang"", ""tdk"", ""dgn"", ""order""]",4
"[""gak"", ""pakai""]",4
"[""kecewa"", ""parah"", ""nggk"", ""berkah"", ""jual"", ""gitu""]",4
"[""kecewa"", ""jual"", ""ga"", ""tanggung"", ""komplen"", ""hari"", ""gada"", ""solusi""]",4
"[""pas"", ""beli"", ""nanya"", ""tipe"", ""macbook"", ""pro"", ""inch"", ""m"", ""variasi"", ""nya"", ""jual"", ""new"", ""pro"", ""pas"", ""dateng"", ""casing"", ""kecil"", ""salah"", ""tipe"", ""jual"", ""pake"", ""alesan"", ""gamau"", ""tanggung"", ""salah"", ""ya"", ""yg"", ""ngejual"", ""kecewa"", ""gamau"", ""beli"", ""ga"", ""tanggung""]",4
"[""barang"", ""kota"", ""casing"", ""mudah"", ""lepas"", ""jujur"", ""kecewa""]",4
"[""kecewa"", ""belanja"", ""pesan"", ""kirim""]",4
"[""tidak"", ""tissue"", ""bersih"", ""alat"", ""bantu"", ""pasang"", ""kecewa""]",4
"[""salah"", ""beli"", ""barang"", ""tp"", ""toko"", ""tidak"", ""kompromi"", ""barang"", ""segel"", ""kecewa"", ""dehhh""]",4
"[""data"", ""error"", ""hilang""]",4
"[""kecewa"", ""toko"", ""official"", ""ga"", ""tau"", ""sen"", ""ga"", ""konfirmasi"", ""sampe"", ""batalin"", ""sistem"", ""ga"", ""direspon"", ""pesan"", ""suruh"", ""pesan"", ""toko"", ""konfirmasi"", ""doang"", ""ga"", ""kirim"", ""sampe"", ""udah"", ""tinggal"", ""menit"", ""dibatalin"", ""sistem"", ""untung"", ""gara"", ""chat"", ""cs"", ""tokopedia"", ""barang"", ""kirim"", ""detik"", ""ga"", ""sampe"", ""situ"", ""aja"", ""payah"", ""barang"", ""ambil"", ""kurir"", ""tanggal"", ""pickup"", ""barang"", ""kurir"", ""proses"", ""kirim"", ""lot"", ""muter"", ""udah"", ""rumah"", ""tanggal"", ""jam"", ""malem"", ""paket"", ""sampe""]",4
"[""packing"", ""ada"", ""bubble"", ""selap"", ""tambah"", ""lapis"", ""plastik"", ""hasil"", ""barang"", ""terima"", ""patah""]",4
"[""mic"", ""ga"", ""nyala""]",4
"[""kartu"", ""sd"", ""nya"", ""gb"", ""official"", ""mksofficial"", ""kecewa"", ""tidak"", ""original""]",4
"[""cepat"", ""tdk"", ""sesuai"", ""dgn"", ""deskripsi""]",4
"[""tidak"", ""berfugsi""]",4
"[""mouse"", ""kurang"", ""bagus"", ""pointer"", ""nya"", ""gerak"", ""gerak""]",4
"[""infra"", ""red"", ""nya"", ""jelek"", ""suka"", ""mental""]",4
"[""batre"", ""tidak"", ""sesuai"", ""ukur"", ""tidak"", ""nano"", ""receiver""]",4
"[""boros"", ""batre""]",4
"[""barang"", ""error""]",4
"[""jaringanya"", ""ngelek"", ""banget"", ""lelet"", ""mending"", ""pake"", ""indihome"", ""de"", ""nyesel"", ""beli"", ""orbit"", ""jaring"", ""ya"", ""parah""]",4
"[""tdk"", ""sesuai"", ""ekspektasi""]",4
"[""lambat""]",4
"[""paket"", ""gb"", ""regiatrasi"", ""cm"", ""mb""]",4
"[""tidak"", ""register"", ""call"", ""center"", ""team"", ""orbin"", ""tidak"", ""helpful"", ""dar"", ""info"", ""gerai"", ""orbin"", ""buka"", ""no"", ""telp"", ""suruh"", ""cari"", ""google"", ""tidak"", ""cari"", ""nomor"", ""telp"", ""tidak"", ""hubungin"", ""salah"", ""info"", ""valid"", ""sesal"", ""beli"", ""orbit"", ""call"", ""center"", ""team"", ""orbin"", ""tidak"", ""helpful"", ""dar"", ""info"", ""gerai"", ""orbin"", ""buka"", ""no"", ""telp"", ""suruh"", ""cari"", ""google"", ""tidak"", ""cari"", ""nomor"", ""telp"", ""tidak"", ""hubungin"", ""salah"", ""info"", ""valid"", ""sesal"", ""beli"", ""orbit""]",4
"[""tidak"", ""sesuai""]",4
"[""janji"", ""kirim"", ""instant"", ""pakai"", ""tutup"", ""toko"", ""kirim"", ""paket"", ""malam"", ""pas"", ""besok"", ""coba"", ""ssd"", ""nya"", ""tidak"", ""baca"", ""bilang"", ""kirim"", ""toko"", ""agarnbisa"", ""kirim"", ""tangerang"", ""ongkos"", ""gojek"", ""instant"", ""rb"", ""tidak"", ""kirim"", ""sampaiiii"", ""minggu"", ""kirim"", ""sengaja"", ""in"", ""tidak"", ""professional"", ""jual"", ""online"", ""jual"", ""barang"", ""rusak"", ""tidak"", ""etikat"", ""ucap"", ""maaf"", ""tutup"", ""anggap"", ""licik"", ""pelit"", ""ongkir"", ""nya"", ""suruh"", ""tanggung"", ""pas"", ""barang"", ""lihat"", ""mah"", ""lupa"", ""garansi"", ""produk"", ""yg"", ""ganti"", ""rusak""]",4
"[""beli"", ""ssd"", ""terima"", ""kondisi"", ""rusak""]",4
"[""tidak"", ""fungsi"", ""yaa"", ""tambah"", ""daya"", ""pakai"", ""mikro"", ""usb"", ""cas"", ""hp"", ""tidak""]",4
"[""kurang"", ""bagus"", ""colok"", ""hardisk"", ""external"", ""tdk"", ""deteksi""]",4
"[""tidak"", ""fungsi"", ""yaa"", ""tambah"", ""daya"", ""pakai"", ""mikro"", ""usb"", ""cas"", ""hp"", ""tidak""]",4
"[""produk"", ""kurang"", ""baik"", ""rusak""]",4
"[""kualitas"", ""merk"", ""china"", ""p"", ""harga"", ""nya"", ""rb"", ""an"", ""bagus"", ""merk"", ""rb"", ""an"", ""kirim"", ""lambat"", ""official"", ""store"", ""pesan"", ""tgl"", ""tgl"", ""tdk"", ""zoom"", ""meeting"", ""pakai"", ""hp"", ""kecewa"", ""produk"", ""layan"", ""logitech"", ""utk"", ""keyboard"", ""nya"", ""mouse"", ""nya"", ""emang"", ""bagus"", ""bbrp"", ""model"", ""nya"", ""sy"", ""kapok"", ""beli"", ""barang"", ""proses"", ""bbrp"", ""jam"", ""sblm"", ""batal"", ""pesan"", ""nya""]",4
"[""kirim"", ""lambat"", ""bilang"", ""lgsg"", ""kirim"", ""habis"", ""order"", ""chat"", ""lgsg"", ""ga"", ""respon"", ""utk"", ""official"", ""store"", ""brand"", ""gede"", ""logitech"", ""sungguh"", ""kecewa""]",4
"[""mousenya"", ""kurang"", ""responsif"", ""jd"", ""teken"", ""kuat""]",4
"[""pake"", ""sensor"", ""udah"", ""jelek"", ""suka"", ""mana""]",4
"[""kecewa"", ""scroll"", ""rusak""]",4
"[""bom"", ""udah"", ""gak"", ""nyala"", ""baterai"", ""udah"", ""ganti"", ""gak"", ""nyala"", ""kecewa"", ""udah"", ""x"", ""kerjain"", ""logitech""]",4
"[""kecewa"", ""barang"", ""yg"", ""kirim"", ""tidak"", ""sesuai"", ""konfirmasi"", ""bolak"", ""kali"", ""nanggung"", ""x"", ""ongkos"", ""kirim"", ""kecewa""]",0
"[""kualitas"", ""chargeran"", ""jelek"", ""bangettt"", ""pakai"", ""rusakk""]",0
"[""layan"", ""toko"", ""jelek"", ""proses"", ""barang"", ""lambat"", ""chat"", ""tidak"", ""barang""]",0
"[""barang"", ""rusak"", ""ga"", ""parah""]",0
"[""cepet"", ""rusak"", ""kadang"", ""konek"", ""kadang"", ""engga""]",0
"[""barang"", ""gajelas"", ""kotak"", ""penyok""]",0
"[""cek"", ""tidak"", ""utuh"", ""gb"", ""ya"", ""mana"", ""sisa"", ""gb"", ""nya"", ""mas"", ""mba"", ""krn"", ""butuh"", ""yaudahlah"", ""tau"", ""beli"", ""beli""]",0
"[""pesan"", ""tidak"", ""alamat"", ""uang"", ""terima"", ""pesan""]",0
"[""beli"", ""kemas"", ""kirim"", ""kemas"", ""bintang"", ""kon"", ""tl""]",0
"[""anjing"", ""palsu"", ""barang"", ""bangsat"", ""awas"", ""tipu"", ""oi"", ""asli"", ""segel"", ""distributor"", ""nya""]",0
"[""barang"", ""kw"", ""beli""]",0
"[""buruk""]",0
"[""barang"", ""bosok"", ""pake"", ""rusak"", ""claim"", ""belit"", ""ama"", ""adminnya""]",0
"[""chat"", ""tidak"", ""balas"", ""kuota"", ""janji"", ""gb"", ""nya"", ""tidak"", ""masuk"", ""hancur"", ""la"", ""parah"", ""parah""]",0
"[""ga"", ""kasih"", ""adaptor"", ""gepeng"", ""nya"", ""tipu""]",0
"[""jir"", ""hari"", ""pake"", ""udah"", ""rusak"", ""quality"", ""control"", ""yg"", ""bener"", ""ahelah""]",0
"[""gmn"", ""ssd"", ""nya"", ""gak"", ""pake"", ""sy"", ""ganti""]",0
"[""beli"", ""mahal"", ""ngeblur"", ""pakai"", ""zoom"", ""hubung"", ""cs"", ""nya"", ""suruh"", ""klaim"", ""garansi"", ""aja"", ""alamat"", ""ga"", ""kasih"", ""hadeuhh"", ""webcam"", ""juta"", ""kualitas"", ""sampah""]",0
"[""tidak"", ""sesuai"", ""gambar"", ""janggan"", ""percaya"", ""ama"", ""seller"", ""tipu"", ""kualitas"", ""jelek""]",0
"[""tolong"", ""kirim"", ""tanggung"", ""paket"", ""habis"", ""renang"", ""comberan"", ""gak"", ""isi"", ""pakai"", ""masuk"", ""bak"", ""sampah""]",0
"[""l"", ""r"", ""trigger"", ""nya"", ""ampas""]",0
"[""jelek""]",0
"[""barang"", ""sampah"", ""tidak"", ""kirim"", ""alamat"", ""tong"", ""sampah"", ""kecewa"", ""admin"", ""tidak"", ""merespon"", ""chat"", ""lihat"", ""barang"", ""yg"", ""kirim"", ""dead"", ""pixel"", ""layar"", ""monitor"", ""balik"", ""kecewa"", ""catat"", ""teman"", ""teman"", ""yg"", ""beli"", ""monitor"", ""tidak"", ""audio"", ""speakernya"", ""kualitas"", ""layar"", ""kurang"", ""baik"", ""rejeki"", ""bilah"", ""merek"", ""yg"", ""bagus"", ""sesal"", ""belanja"", ""tidak"", ""rekomendasi"", ""belanja""]",0
"[""tidak"", ""jujur"", ""paksa"", ""barang"", ""jual"", ""barang"", ""kirim"", ""tidak"", ""sesuai"", ""pesan"", ""beli"", ""suruh"", ""kirim"", ""barang"", ""yg"", ""tidak"", ""solusi"", ""barang"", ""tidak"", ""resiko"", ""barang"", ""yg"", ""foto"", ""tawar"", ""tidak""]",0
"[""beli"", ""tgl"", ""pesan"", ""selesai"", ""tgl"", ""mouse"", ""rusak"", ""tgl"", ""gak"", ""komplain"", ""toped"", ""admin"", ""ditanyain"", ""gmna"", ""klaim"", ""garansi"", ""tidak"", ""bantu"", ""chat"", ""bales"", ""besok"", ""da"", ""dibales"", ""gk""]",0
"[""gua"", ""beli"", ""dapetnya"", ""v"", ""desc"", ""gada"", ""jelas"", ""versi"", ""bagus"", ""v"", ""rgbnya"", ""rgb"", ""v"", ""bener"", ""bener"", ""red"", ""green"", ""blue"", ""sisa"", ""warna"", ""gaguna"", ""switch"", ""puller"", ""gadapet"", ""rgb"", ""redup"", ""ngga"", ""pemberitahuan"", ""versi"", ""keyboardnya"", ""bener"", ""kecewa"", ""kapok"", ""beli"", ""da"", ""ambil"", ""ae"", ""v"", ""rt"", ""x"", ""v"", ""tuh"", ""bagus"", ""drpd"", ""kecewa"", ""gua"", ""jual"", ""pokok""]",0
"[""belanja"", ""official"", ""store"", ""kondisi"", ""barang"", ""terima"", ""sampah"", ""barang"", ""rongsok"", ""terima"", ""kasih""]",0
"[""ngaco"", ""banget"", ""sen"", ""mouse"", ""gak"", ""lengkap"", ""gak"", ""tutup"", ""batre"", ""bluetoothnya""]",0
"[""barang"", ""emang"", ""harga"", ""asli"", ""an"", ""seller"", ""sok"", ""sok"", ""an"", ""bikin"", ""diskon"", ""yg"", ""rb"", ""diskon"", ""rb"", ""olshop"", ""emang"", ""keras""]",0
"[""salah"", ""beli"", ""gabisa"", ""dituker"", ""pas"", ""coba"", ""gabisa"", ""pas"", ""klaim"", ""garansi"", ""gimana"", ""bales"", ""bot"", ""tai""]",0
"[""tidak"", ""puas"", ""baik"", ""produk"", ""layan"", ""barang"", ""cacat"", ""kondisi"", ""tutup"", ""meja"", ""tidak"", ""tutup"", ""rapat"", ""pasang"", ""engsel"", ""tidak"", ""sejajar"", ""pendek"", ""yg"", ""sebab"", ""listnya"", ""sobek"", ""krn"", ""paksa"", ""tutup"", ""daun"", ""meja"", ""fix"", ""nya"", ""cacat"", ""pabrik"", ""kirim"", ""komplain"", ""ga"", ""terima"", ""toko"", ""jual"", ""suruh"", ""hubung"", ""kurir""]",0
"[""quality"", ""barang"", ""jelek"", ""baut"", ""lepas""]",0
"[""banyakk"", ""rusakk"", ""lecet"", ""nyaaaa""]",0
"[""barang"", ""pesan"", ""dateng"", ""bayar"", ""harga"", ""yg"", ""dateng"", ""makasih"", ""ga"", ""ush"", ""bukti"", ""cek"", ""aja"", ""keluar"", ""barang"", ""nya"", ""cek"", ""beli"", ""jgn"", ""beli"", ""unboxing"", ""ga"", ""abis"", ""in"", ""quota""]",0
"[""keyboard"", ""tdk"", ""nyala"", ""baterai"", ""coba"", ""kali"", ""tdk"", ""murah"", ""toko"", ""barang"", ""tdk"", ""bohong""]",0
"[""barang"", ""rusak"", ""kirim""]",0
"[""gak"", ""bener"", ""nih"", ""dateng"", ""tuh"", ""meja"", ""utuh"", ""baut"", ""gak"", ""pasang"", ""baut"", ""nya"", ""banget"", ""lem"", ""ngaco"", ""nih""]",0
"[""driver"", ""ngaco"", ""toko"", ""barang"", ""ok"", ""smart"", ""nama"", ""bengak"", ""gua"", ""kasih"", ""puas"", ""komen"", ""jg"", ""lu"", ""bintang"", ""satu"", ""driver""]",0
"[""kecewa"", ""gk"", ""selesai"", ""chat"", ""kg"", ""bls"", ""wa"", ""kg"", ""bls"", ""lari"", ""gitu"", ""aj"", ""sampah""]",0
"[""barang"", ""kirim"", ""salah"", ""pesan"", ""webcam"", ""logitech"", ""logitech"", ""official"", ""bs"", ""dikirimmya"", ""headphone"", ""jbl"", ""tukar"", ""barang"", ""butuh"", ""kerja"", ""sungguh""]",0
"[""bagus"", ""banget"", ""keyboardnya"", ""packing"", ""aman"", ""double"", ""kardus"", ""warna"", ""keren""]",3
"[""aaaa"", ""bagus"", ""banget"", ""kirim"", ""cepatt"", ""aman"", ""packaging"", ""nya"", ""nyala"", ""tdi"", ""udh"", ""coba"", ""beli"", ""dgn"", ""harga"", ""rp"", ""senengggbangett""]",3
"[""terima"", ""kasihh"", ""boss"", ""mantappss"", ""smoga"", ""lancarr"", ""n"", ""berkah"", ""rezeki"", ""smngttt"", ""boss""]",3
"[""barang"", ""buwaguusss"", ""sesuai"", ""pesan"", ""angin"", ""nya"", ""kencang"", ""angin"", ""puting"", ""beliung"", ""laptop"", ""ademmmm"", ""benerrr""]",3
"[""mantap"", ""bgt"", ""kualitas"", ""beneran"", ""kaya"", ""webcam"", ""juta""]",3
"[""selamat"", ""mulus"", ""fungsi"", ""sempurna"", ""seller"", ""sabar"", ""konsultasi"", ""emas"", ""aman"", ""recommended""]",3
"[""proses"", ""pesan"", ""kirim"", ""barang"", ""cepat"", ""produk"", ""sesuai"", ""deskripsi"", ""seller"", ""responsif"", ""sukses"", ""jaga"", ""protokol"", ""sehat"", ""ya"", ""seller"", ""terima"", ""kasih""]",3
"[""jual"", ""ramah"", ""barang"", ""bagus"", ""sesuai"", ""dgn"", ""pesan"", ""packing"", ""rapi"", ""cmn"", ""pesan""]",3
"[""selamat"", ""siang"", ""bos"", ""pesan"", ""terima"", ""pasang"", ""coba"", ""packing"", ""rapi"", ""aman"", ""product"", ""mantap"", ""pokok"", ""top"", ""markotop"", ""layan"", ""oke"", ""toko"", ""recomended"", ""makasih"", ""salam"", ""sukses"", ""sehat"", ""sejahtera"", ""aamiin""]",3
"[""recommended"", ""seller""]",3
"[""top"", ""bgt""]",3
"[""asli"", ""samsung"", ""layan"", ""baik""]",3
"[""mantap"", ""laptop"", ""jd"", ""adem"", ""ga"", ""cpt"", ""panas""]",3
"[""memory"", ""sdh"", ""sy"", ""pasang"", ""keping"", ""gb"", ""ddr"", ""fungsi"", ""dg"", ""baik"", ""kirim"", ""lumayan"", ""cepat"", ""recommended"", ""seller""]",3
"[""waw"", ""murah"", ""bangetttt"", ""packingnya"", ""rapih"", ""produk"", ""bagus"", ""keren"", ""mantap"", ""uhuuy"", ""pis"", ""deh"", ""pokok"", ""hehehehehe""]",3
"[""mantab"", ""respon"", ""cepat"", ""pesan"", ""tidak"", ""kecewa"", ""rekomended"", ""belanja"", ""spare"", ""part"", ""terima"", ""kasih"", ""kerja"", ""sama""]",3
"[""recommended"", ""fast"", ""print"", ""fast"", ""response""]",3
"[""gila"", ""kirim"", ""cepet"", ""banget"", ""dr"", ""surabaya"", ""bogor"", ""fast"", ""respont"", ""barang"", ""ok"", ""sesuai"", ""banget"", ""packing"", ""rapi"", ""recomended"", ""seller"", ""euy"", ""ma"", ""kasih"", ""gan"", ""thanks"", ""toped""]",3
"[""barang"", ""cepet"", ""banget"", ""recommended"", ""tengkyuuu""]",3
"[""recommended"", ""seller"", ""respon"", ""cepat"", ""kirim"", ""cepat""]",3
"[""earcupnya"", ""lembut"", ""best"", ""value"", ""headset"", ""sound"", ""mantap"", ""nyaman"", ""praktis"", ""tinggal"", ""plug"", ""and"", ""play"", ""mantaaaap"", ""laaah"", ""gamer""]",3
"[""respon"", ""cepat"", ""barang"", ""original"", ""baik"", ""recomended"", ""packing"", ""baik"", ""sukses"", ""ya""]",3
"[""kualitas"", ""suara"", ""ok"", ""banget"", ""harga"", ""jangkau"", ""barang"", ""jamin"", ""ori"", ""daftar"", ""website"", ""razer"", ""langsung"", ""pokok"", ""bagus"", ""bassnya"", ""rasa""]",3
"[""kualitas"", ""produk"", ""baik"", ""harga"", ""tera"", ""nyaman"", ""pakai"", ""suara"", ""keras"", ""fungsi"", ""baik"", ""definitely"", ""would"", ""recommend"", ""this""]",3
"[""mantaaap"", ""tanggap"", ""banget"", ""fast"", ""respon"", ""juossssssss""]",3
"[""barang"", ""bagus"", ""bangett"", ""harga"", ""affordable"", ""kualitas"", ""lumayan"", ""gokil"", ""sihh""]",3
"[""mantappppp"", ""recommended"", ""keyboard"", ""ma"", ""mousenya""]",3
"[""mantab"", ""minnn"", ""kirim"", ""jam"", ""sore"", ""gasss""]",3
"[""mantap"", ""banget"", ""kualitas"", ""gak"", ""ragu""]",3
"[""cakep"", ""produk"", ""nya"", ""rekomen"", ""banget"", ""nih"", ""sesuai"", ""deskripsi""]",3
"[""packing"", ""rapih"", ""fast"", ""response"", ""rgbnya"", ""bagus"", ""rekomendasi""]",3
"[""as"", ""always"", ""gapernah"", ""gagal"", ""belanja"", ""thanks"", ""ggs""]",3
"[""cakep"", ""bet"", ""dah"", ""duduk"", ""aja"", ""kursi"", ""sampe"", ""ga"", ""diri""]",3
"[""overall"", ""muas"", ""layar"", ""bagus"", ""ipsnya"", ""ga"", ""bagus"", ""ips"", ""tv"", ""warna"", ""bagus"", ""ga"", ""oversaturated"", ""brightness"", ""terang"", ""pakai"", ""gelap"", ""silau"", ""biar"", ""brightness"", ""udah"", ""layar"", ""putar"", ""cm"", ""kaki"", ""gampang"", ""dorong"", ""refresh"", ""rate"", ""bukti"", ""cepat"", ""fps"", ""mantab"", ""asa"", ""softwarenya"", ""bagus"", ""jd"", ""setting"", ""ga"", ""tombol"", ""dpt"", ""kabel"", ""display"", ""port"", ""desain"", ""keren"", ""bezelless"", ""nice""]",3
"[""love"", ""it"", ""product"", ""bagus"", ""worth"", ""it"", ""thank"", ""you""]",3
"[""airo"", ""customer"", ""service"", ""super"", ""duper"", ""bagus"", ""okey"", ""produk"", ""bagus"", ""puas"", ""banget"", ""love"", ""airo""]",3
"[""barang"", ""mantap"", ""kualitas"", ""kokoh"", ""garansi"", ""seller"", ""ramah"", ""pokok"", ""mantap"", ""banget""]",3
"[""layan"", ""muas"", ""seller"", ""rekomended""]",3
"[""packing"", ""jamin"", ""aman"", ""pakai"", ""bubblewrap"", ""cepet"", ""banget"", ""proses"", ""senin"", ""malam"", ""cekout"", ""pagi"", ""kirim"", ""rabu"", ""sore"", ""cepat"", ""puas"", ""terimakasih"", ""sukses"", ""yah"", ""tech"", ""cube""]",3
"[""mantap"", ""recommended"", ""respon"", ""seller"", ""bintang"", ""pesan"", ""malam"", ""langsung""]",3
"[""bahan"", ""plastik"", ""tidak"", ""kuat"", ""topang"", ""laptop"", ""sih"", ""kuat"", ""tablet"", ""gaisss"", ""baik"", ""beli""]",1
"[""barang"", ""ga"", ""sampe"", ""kirim"", ""nyusul"", ""no"", ""resi"", ""ga"", ""kasih""]",1
"[""gak"", ""gimana""]",1
"[""saran"", ""aja"", ""temen"", ""temen"", ""beli"", ""buang"", ""box"", ""nya"", ""simpan"", ""biar"", ""kalo"", ""beli"", ""rusak"", ""claim"", ""garansi""]",1
"[""packaging"", ""gk"", ""aman"", ""bgt"", ""bubble"", ""wrap"", ""tipis"", ""alhasil"", ""kemas"", ""barang"", ""penyok"", ""pas"", ""dateng"", ""thank"", ""god"", ""barang"", ""aman"", ""official"", ""store"", ""baik"", ""fix"", ""min"", ""next"", ""duh""]",1
"[""biar"", ""gambar"", ""cerita"", ""pesan"", ""bh"", ""yg"", ""rusak"", ""bh"", ""jgn"", ""percaya"", ""balas"", ""bela"", ""apa"", ""seller"", ""tidak"", ""amanah"", ""alas"", ""rusak"", ""expedisi"", ""letak"", ""cacat"", ""expedisi"", ""yg"", ""expedisi"", ""ceroboh"", ""packingan"", ""kardus"", ""satu"", ""bubble"", ""tipis"", ""ada"", ""tempel"", ""fragile"", ""pesan"", ""bubble"", ""kardus"", ""tambah"", ""seller"", ""usaha"", ""limpah"", ""biar"", ""ganti"", ""asuransi"", ""untung"", ""diviseo"", ""unboxing"", ""tolak"", ""jg"", ""dr"", ""expedisi"", ""tidak"", ""cerita"", ""lebar"", ""ulas"", ""hubung"", ""nyaman"", ""buyer"", ""utk"", ""timbang"", ""baca"", ""waspada"", ""waspada"", ""tidak"", ""itikad"", ""baik"", ""usaha"", ""lepas"", ""tangan"", ""bahaya"", ""rusak"", ""tokopedia"", ""seller"", ""kasih"", ""note"", ""proses"", ""dichat"", ""kirim"", ""utk"", ""hati"", ""hati"", ""utk"", ""jual"", ""aju"", ""resolusi"", ""pengambalian"", ""dana"", ""tokopedia"", ""tp"", ""alih"", ""asuransi"", ""utk"", ""tokopeda"", ""refund"", ""dana"", ""trims"", ""admin""]",1
